case_id,family,paraphrase,invalid,arm,status,accepted,issue_identified,abstained,seconds,finding_rule_ids,finding_severities
absent_gene-0,absent_gene,0,True,accept_all,ACCEPT,True,False,False,3.700028173625469e-06,,
absent_gene-0,absent_gene,0,True,reject_all,REJECT,False,True,False,1.9000144675374031e-06,,
absent_gene-0,absent_gene,0,True,deterministic_checklist,ACCEPT,True,False,False,0.01407840003957972,,
absent_gene-0,absent_gene,0,True,bionexus_full,NEEDS_REVISION,False,True,False,0.1214761000010185,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-0,absent_gene,0,True,without_claim_text,NEEDS_REVISION,False,True,False,0.014307500037830323,BFA-001c,HIGH_IMPACT
absent_gene-0,absent_gene,0,True,without_execution_metadata,NEEDS_REVISION,False,True,False,0.09987010003533214,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-0,absent_gene,0,True,bionexus_full_fitstatus_synonym,NEEDS_REVISION,False,True,False,0.11039769998751581,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-1,absent_gene,1,True,accept_all,ACCEPT,True,False,False,1.700012944638729e-06,,
absent_gene-1,absent_gene,1,True,reject_all,REJECT,False,True,False,6.00004568696022e-07,,
absent_gene-1,absent_gene,1,True,deterministic_checklist,ACCEPT,True,False,False,0.0008036000072024763,,
absent_gene-1,absent_gene,1,True,bionexus_full,NEEDS_REVISION,False,True,False,0.20209009997779503,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-1,absent_gene,1,True,without_claim_text,NEEDS_REVISION,False,True,False,0.014438799989875406,BFA-001c,HIGH_IMPACT
absent_gene-1,absent_gene,1,True,without_execution_metadata,NEEDS_REVISION,False,True,False,0.19732600002316758,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-1,absent_gene,1,True,bionexus_full_fitstatus_synonym,NEEDS_REVISION,False,True,False,0.19951770000625402,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-2,absent_gene,2,True,accept_all,ACCEPT,True,False,False,4.900037311017513e-06,,
absent_gene-2,absent_gene,2,True,reject_all,REJECT,False,True,False,1.3999524526298046e-06,,
absent_gene-2,absent_gene,2,True,deterministic_checklist,ACCEPT,True,False,False,0.0016496999887749553,,
absent_gene-2,absent_gene,2,True,bionexus_full,NEEDS_REVISION,False,True,False,0.11880130000645295,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-2,absent_gene,2,True,without_claim_text,NEEDS_REVISION,False,True,False,0.016951900033745915,BFA-001c,HIGH_IMPACT
absent_gene-2,absent_gene,2,True,without_execution_metadata,NEEDS_REVISION,False,True,False,0.1104920000070706,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
absent_gene-2,absent_gene,2,True,bionexus_full_fitstatus_synonym,NEEDS_REVISION,False,True,False,0.10844070004532114,"BFA-001c,BFA-014","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-0,causal_overclaim,0,True,accept_all,ACCEPT,True,False,False,3.3999676816165447e-06,,
causal_overclaim-0,causal_overclaim,0,True,reject_all,REJECT,False,True,False,1.100008375942707e-06,,
causal_overclaim-0,causal_overclaim,0,True,deterministic_checklist,ACCEPT,True,False,False,0.002202600007876754,,
causal_overclaim-0,causal_overclaim,0,True,bionexus_full,NEEDS_REVISION,False,True,False,0.1136314999894239,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-0,causal_overclaim,0,True,without_claim_text,NEEDS_REVISION,False,True,False,0.014058000000659376,BFA-001c,HIGH_IMPACT
causal_overclaim-0,causal_overclaim,0,True,without_execution_metadata,NEEDS_REVISION,False,True,False,0.11996140005066991,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-0,causal_overclaim,0,True,bionexus_full_fitstatus_synonym,NEEDS_REVISION,False,True,False,0.11732300004223362,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-1,causal_overclaim,1,True,accept_all,ACCEPT,True,False,False,2.400018274784088e-06,,
causal_overclaim-1,causal_overclaim,1,True,reject_all,REJECT,False,True,False,1.00000761449337e-06,,
causal_overclaim-1,causal_overclaim,1,True,deterministic_checklist,ACCEPT,True,False,False,0.0009263000101782382,,
causal_overclaim-1,causal_overclaim,1,True,bionexus_full,NEEDS_REVISION,False,True,False,0.1411206999910064,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-1,causal_overclaim,1,True,without_claim_text,NEEDS_REVISION,False,True,False,0.03704570000991225,BFA-001c,HIGH_IMPACT
causal_overclaim-1,causal_overclaim,1,True,without_execution_metadata,NEEDS_REVISION,False,True,False,0.13712019997183233,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-1,causal_overclaim,1,True,bionexus_full_fitstatus_synonym,NEEDS_REVISION,False,True,False,0.10542059998260811,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-2,causal_overclaim,2,True,accept_all,ACCEPT,True,False,False,3.600027412176132e-06,,
causal_overclaim-2,causal_overclaim,2,True,reject_all,REJECT,False,True,False,9.00006853044033e-07,,
causal_overclaim-2,causal_overclaim,2,True,deterministic_checklist,ACCEPT,True,False,False,0.0010818999726325274,,
causal_overclaim-2,causal_overclaim,2,True,bionexus_full,NEEDS_REVISION,False,True,False,0.10608529997989535,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-2,causal_overclaim,2,True,without_claim_text,NEEDS_REVISION,False,True,False,0.033892399980686605,BFA-001c,HIGH_IMPACT
causal_overclaim-2,causal_overclaim,2,True,without_execution_metadata,NEEDS_REVISION,False,True,False,0.24736189999384806,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
causal_overclaim-2,causal_overclaim,2,True,bionexus_full_fitstatus_synonym,NEEDS_REVISION,False,True,False,0.11142630001995713,"BFA-001c,BFA-008","HIGH_IMPACT,HIGH_IMPACT"
changed_result-0,changed_result,0,True,accept_all,ACCEPT,True,False,False,2.800021320581436e-06,,
changed_result-0,changed_result,0,True,reject_all,REJECT,False,True,False,1.00000761449337e-06,,
changed_result-0,changed_result,0,True,deterministic_checklist,ACCEPT,True,False,False,0.0012573999701999128,,
changed_result-0,changed_result,0,True,bionexus_full,BLOCKER_DETECTED,False,True,False,0.11450019996846095,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER"
changed_result-0,changed_result,0,True,without_claim_text,BLOCKER_DETECTED,False,True,False,0.017600700026378036,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER"
